favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
be occupied with,"v. 忙着
 忙于；忙于做；忙于某事物"
be on good terms with, 关系很好；与；与某人关系好
be on bad terms with,
be on the verge of, 濒临；快要；在…边缘
be open to,"na. 易受；易接受；对…开着门
 对……开放；易于接受；向---开放"
be particular about,"v. 对…讲究
 对……讲究；挑剔；讲究的"
be passionate about,
be peculiar to,"v. 限于
 是……所特有的；相关词组；特别的"
be persuaded to do,
be poor at, 不擅长；在……比较差；不擅长于
be popular with,"na. 受…欢迎
 受…的欢迎；受…欢迎的；受到……的欢迎"
be possessed of,"na. 拥有
 占有；具有；具有某品质"
be preoccupied with, 专注于；全神贯注；全神贯注于
be proficient in,"v. 精通
 熟练…；熟练掌握；技术熟练"
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
be ready for,"v. 预备好
 为……准备好；为……作好准备；为……做准备"
be reluctant to, 不愿意；不情愿；不愿做…的
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
be rich in,"v. 富于
 富含；富有；盛产"
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
be saturated with,"na. 充分渗透着
 充满着；充斥着；饱和的"
be sensible of,"v. 感觉到N；觉得N
 意识到；觉察到；知道"
be sensitive to,"na. 对…敏感
 对…敏感的；对……感到敏感；易感受"
be short of, 缺少；缺乏；短缺
be skillful at, 技术熟练；熟悉；擅长于
be specific to,
be strict with, 对……严格要求；对…要求严格；对某人要求严格
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
be suffused with,na. 充满
be suitable for,"v. 合适
 适合于；对……合适；对…适合"
be superior to,"na. 比…好；超然于
 优于；比……优越；胜过"
be sure of,"na. 确信
 对……有把握；确定；深信"
be surrounded by,"na. 被…环绕着
 被……所包围；被……环绕；被...环绕着"
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
be well off,"na. 生活好过
 生活富裕；处境良好；小康的"
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
be worn out, 筋疲力尽；被损坏；穿破
be worried about, 担心；为…而担心；为……担心
be worthy of, 值得；配得上；对得起
be wrong with, 有点毛病；有些不舒服；有毛病
because of,"na. 因
 因为；由于；由于，因为"
before long,"na. 不久；不(需很)久
 不久以后；很快；不久之后"
believe in,"v. 相信
 信任；信仰；信奉"
believe it or not,"na. 信不信由你
 信不信由你博物馆；七月又十四之信不信由你；七月又十四信不信由你"
belong to,"v. 属于；附属
 归于；归属；属於"
beyond description,"na. “beyond expression”的变体
 难以形容；无法形容；无法描述"
beyond words,"un. 明理人不用细说；难以形容
 无法用语言表达；难以言表；无法用言语表达"
bottom out,"na. 降到最低点
 走出低谷；见底回升；降至最低点"
break away from,"v. 脱离；离开；断绝与…的关系
 摆脱；从…脱离；脱离等"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
break the ice,"na. 带个头；使气氛活跃；起头；打破沉闷
 打破沉默；打破僵局；破冰"
bring ... to a standstill,
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
by all means,"na. 必定；千方百计；不惜一切；好的
 务必；一定；无论如何"
by birth,"na. 血统；生来
 在出生上；论出身；按血统"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
by choice,"na. 出于自己的选择
 出于选择；处于选择；出于自愿"
by comparison,"na. 比较起来
 相比之下；相比较；通过对比"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
 到目前为止；非常；最多"
by means of,"na. 以
 用；依靠；借助于"
by nature,"na. 生就；从本性上说
 生来；天生的；生性"
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
by oneself,"na. 单独；独自；独力
 自行；独自地；单独地"
by the time,"na. 到…的时候
 到……时候；直到…时候；到…时候为止"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
by virtue of,"na. 靠
 由于；凭借；因"
by way of,"na. 当做；作出…的样子；经由；以便
 通过…方式；取道；经过"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
call it a day,"na. 今天就这样算了
 今天到此为止；收工；就此结束"
call off,"na. 命令停止；丢手；取消(婚约)；点(名)
 放弃；叫走，叫开；转移开"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
can't help doing sth.,
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
catch up with,"v. 赶上
 追上；赶上某人；跟上"
change into,"na. 变成；改穿
 把……变成；变为；转换成"
check into,"na. 去…上班
 登记住进；调查；深入调查"
close to,"na. 接近于；在附近
 靠近；亲近；离…近"
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
come into being,"na. 发生
 形成；产生；开始存在"
come into effect,"na. 开始实施
 生效；开始生效；开始实行"
come into existence,"na. 产生；成立
 开始存在；形成；出现"
come into view, 进入视野；映入眼帘；应入眼帘
come to an end,"na. 完结
 结束；终止；告终，结束"
come to light,"na. 显露
 真相大白；为人所知；出现"
come to the conclusion that, 得到的结论是；得到以下结论；得出这样一个结论
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
concentrate on sth.,
consist of,"v. 由…合成
 由……组成；由…构成；包括"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
convince sb. to do sth.,
cope with,"v. 对付；应付
 处理；应对；解决"
correspond with,"v. 相当
 符合；相符合；一致"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
crack down on,"na. 对…进行制裁
 打击；镇压；严打"
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
 插嘴；插嘴，打断；超车抢挡"
day after day,"na. 天天；一天又一天
 日复一日；日复一日地；一天一天的"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
dedicate oneself to,"na. 致力于
 献身于；专心致力于；赋予自己"
depend on,"v. 依靠
 依赖；取决于；视……而定"
deprive of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
devote oneself to,"na. 专心从事(研究)；一味贪玩
 献身于；致力于；致力于，献身于"
die of,"na. 因…而死
 死于；因……而死；因……病而死"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
differ from,"na. 和…不一致；和…意见不同
 不同于；和……不同；区别于"
differ in,"v. 不同
 在…方面不同；不同在；在……不同"
discriminate against,"na. 歧视
 排斥；不一样对待；某些人歧视"
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
distinguish from, 区别；区分；识别，辨别，辨认
distract from, 分散；转移；使人分心
do away with,"na. 废除；干掉
 去掉；除去；消灭"
do good to,"na. 对…做好事；对…有益
 对...有益；对…有益处；对…有好处"
do harm to,"v. 损害
 对…有害；伤害；对……造成伤害"
do ... a favour, 帮忙；帮个忙；帮助某人
do with,"na. 对付；忍耐；与…相处
 处理；处置；需要"
dozens of,"adj. 许多
 几十；几十个；很多"
draw attention to,"un. 促使…注意
 对……表示注意；吸引对……的注意；吸引注意力"
draw out,"na. 抽出；拔出；掏出；提出
 拉长；取出；拉出"
dream of,"v. 梦想
 梦见；梦到；向往"
dress oneself,穿着，打扮
drop in,"(使)落进；(使)往里坍塌：
偶然(或顺便)走访(或访问)(on)；逐渐进入：
(有选择地)加入；愿意(或决心)参加：
放下(吊幕)，吊装布景："
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
each other,"pron. 彼此
 互相；相互；各自"
earn one's living, 谋生；营生；挣钱维持生计
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
 吃光；吞灭；吃掉"
end in,"na. 结果为…
 以…为结束；以…告终；以……结束"
end up with,"na. 以…而告终
 以…而结束；以…结束；以……告终"
enjoy oneself,"na. 过得快乐
 玩得愉快；玩得开心；过得愉快"
enter into,"na. 入；动手；参加；缔结(协约等)
 进入；开始；开始从事"
equip with,"v. 装备
 配备；以…装备；用…装备"
except for,"na. 只有
 除了；除…之外；除了……之外"
face to face,"na. 面对面
 面对面地；结构长度；面对面的"
fade away,"n. 逐渐消失
 褪色；消逝；逐渐凋谢"
fall in love with,"na. 爱上
 爱上某人；与……相爱；爱上某物"
fall into,"na. 开始；分解(成几部分)；陷入(网等)中；变成
 落入；分成；陷于"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
fall short of,"na. “come short”的变体；“fall short”的变体
 达不到；缺乏；不符合"
far from,"na. 远离；决不
 远非；完全不；远远不是"
fear of, 害怕；害怕什麽；对…恐惧
feel at ease, 安乐；心里踏实；感到轻松
feel for, 摸索着寻找; 同情（某人）; 由于…而产生某种感情; 对（某人）产生某种感情
feel free to,"na. 可以随便
 尽管；随意；可以随意做某事"
feel ill at ease,"na. 不安；局促不安
 心神不宁；感到拘束；感到不安"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
fill in,"na. 填充；填写；同“fill”
 填满；填入；过门"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
 填表；填好；填充"
fill up with,"v. 装满
 用……装满；用…把…装满；充满"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
first of all,"na. 第一
 首先；首要；是首先的意思"
for a change,"na. 为了改变一下
 换换环境；为了换换花样；换换心情"
for a rainy day, 以备不时之需；未雨绸缪；以防不时之需
for a while,"adv. 片刻
 暂时；一会儿；一时"
for certain,"na. 的确
 肯定地；确凿地；确切地"
for ever,"adv. 永远地；永恒地；无休止地；永无止境地
n. 永恒；相当长的时间
 永久；长期地；直到永远"
for instance,"na. 例如
 比如；举例说；举例来说"
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
for the first time,"na. 第一次
 首次；初次；从第一次开始"
for the purpose of,"na. 为…
 为了…目的；为……目的；为了……的目的"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
forget doing, 忘记做过某事；忘记做了某事；忘记曾做过某事
forget to do, 忘记去做某事；忘记要去做某事；忘记要做某事
from ... point of view,
from now on,"na. 从今以后
 从现在起；从现在开始；今后"
from time to time,"na. 时时
 有时；不时；不时地"
get acquainted with,"na. 熟知；与…相识
 熟悉；了解；开始知道"
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
get down to,"v. 认真对待
 开始；着手；着手做"
get in contact with,
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
get lost,"int. 滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
 走开；走失；失踪"
get married,"na. 结婚
 有感情的结婚；成婚；完婚"
get ready for,"v. 作准备
 为…做准备；为……准备好；为……作准备"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
get through with,"v. 完成
 对…强硬"
get to,"na. 接触到；开始；收买
 到达；表示到达；找到"
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give in to,"v. 交上；同意；接受
 屈服于；向…让步；投降"
give rise to,"na. 惹起
 引起；导致；使发生"
give sb. a hand,"un. 制住；帮着干一点
 帮助；帮忙；提供帮助"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
go bad,"na. (食品,蛋等)坏掉
 变坏；腐败；变质"
go bankrupt,"na. 破产
 倒闭；宣告破产；入不敷出"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
go Dutch,"v. 各自付费
 各付各的；各自付帐；各付各的钱"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
go out,"na. 出去；灭；辞职；下台
 熄灭；外出；过时"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
go wrong,"na. 走错路；失败
 出毛病；出错；发生故障"
graduate from,"v. 毕业于
 从…毕业；毕业於；从…毕业例句"
hand in,"na. 交进
 上交；交上；递交"
hand in hand,"na. 手拉手；联合
 手牵手；携手；牵阮的手"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
have ... in mind,"na. 记住；铭记不忘；注意
 考虑到；想到；记得"
have a good command of,"na. 能自由应用(英语)
 精通；掌握；对掌握熟练"
have a monopoly over,
have a weakness for, 偏爱；酷爱；很喜爱
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
have an eye for,"v. 对…有鉴赏力
 有眼光；有眼力；对……有独到的眼光"
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
have an influence on, 影响；对…有影响；影响例句
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
have difficulty in, 在……方面有困难；在某方面有困难；在……有困难
have every reason to,
have faith in,"na. 相信
 信任；对……有信心；信仰"
have little to do with,"v. 与…几乎无关
 与……关系不大；与……几乎没有关系；没太有关系"
have no choice but to,"na. 除…外别无他法
 别无选择；不得不；只好"
have no idea,"un. 心中有数；对…一无所知；感到茫无头绪；不想
 不知道；不清楚；一点不知道"
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
 与……无关；和……毫无关系；与……毫无关系"
have the authority to do,
have the right to do,
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
hear of,"na. 听说；获悉；收到…的消息；知道
 听到；听说过；得悉"
help oneself to,"na. 自由取食；任意占用
 请随便吃点；随便用；自便"
help ... with ...,
hit on,"na. 忽然想到；偶然发现；无意中发现；搭讪
 想出；献殷勤；偶然想起"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
 等一等；坚持住；等一下"
hold one's breath,"na. 屏息
 屏住呼吸；憋住气；屏住气"
hold onto,"na. 盘据
 紧紧抓住；坚持；保住"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
impose a burden on,
in a hurry,"na. 匆忙；容易地；急于要；愿意地
 匆忙地；立即；匆匆忙忙"
in a minute,"na. 马上
 一会儿；立刻；一分钟后"
in a panic,"adv. 仓皇失措
 惊慌地；处于惊恐；惊恐地"
in a second,"na. 立刻
 马上；过一秒钟；立即"
in a sense,"na. 在某种意义上；有一点儿
 从某种意义上说；就某种意义来说；就某种意义而言"
in a word,"na. “in a few words”的变体
 总之；简言之；总而言之"
in accordance with,"na. 照；与…一致
 按照；根据；依照"
in addition to,"na. 加之
 除…之外；除了；除…外"
in advance,"na. 预先；在先头
 事先；提前；事前"
in brief,"na. 简单地说
 简言之；简而言之；总之"
in case of,"na. 要是
 万一；假使；如果"
in common,"un. 和…有相通之处；公有
 共同；共有的；共同的"
in comparison with,"na. 和…比起来
 比较；与…比较；与…比较起来"
in consequence,"na. 因此
 结果；因而；在…条件下"
in contrast,"adv. 相反
 相比之下；对比；成对比"
in detail,"na. 详细
 详细地；详细的；详尽"
in earnest,"na. 诚挚
 认真地；认真的；诚挚地"
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
in exchange for,"na. 换
 交换；用……交换；作为交换"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in fashion,"na. 时新的
 流行；时兴；正流行"
in favour of,"na. 赞成；有利于；付与
 支持；赞同；以……为受益人"
in full,"na. 详细地(填写姓名等)；全部地
 充足；全额；全文"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
in good condition,"na. 情况良好；健康；(物件)无破损；(食品)新鲜
 状态良好；状况良好；完好无损"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
 与…协调；与……协调一致；和谐"
in haste,"na. 急着；急忙地；仓促地
 匆忙；匆忙地；急速地"
in honour of,"na. 向…表示敬意
 为纪念；为了纪念；向……表示敬意"
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
in need, 在危难中；需要帮助的；在困难时
in no time,"na. 立刻
 马上；很快；立即"
in obedience to,"na. 遵从
 遵照；服从；介短遵照"
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
in progress,"na. 在进行中；还没有完的
 正在进行；正在进展中；进展如何"
in proportion to,"na. 与…成比例；与…相称；按…的比例(越…越…)
 成比例的；按……的比例；按比例"
in prospect,"na. 在望；可以预料到
 可期待；有希望；展望"
in public,"na. 公然
 当众；公开地；在公共场合"
in regard to,"na. “in regard of”的变体
 关于；至于；对于"
in return for,"na. 作…的报酬
 作为…的报答；作为对…的回报；作为…的交换"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
in season,"na. (水果等)正旺；当令；应时；时机正好的
 应时的；旺季；应季"
in short,"na. 简单地说；总之
 简言之；简而言之；总而言之"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
in succession,adv. 接着，接连地; 连着; 相继不绝; 纷纷
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
in the dark,"na. 秘密；在暗处；不知
 在黑暗中；蒙在鼓里；一无所知"
in the end,"na. 终于
 最后；最终；结果到头来"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
in the first place,"na. 首先；第一
 起初；原先；第一点"
in the future,"adv. 今后
 将来；在将来；在未来"
in the light of,"na. 按照；以…的模样；当作…
 根据；鉴于；依据"
in the long run,"na. 归根到底；“in the long run/term”的变体
 从长远来看；最后；从长远观点看"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
in the name of,"na. 凭…的名；为…的缘故；作…的代表
 以…的名义；以……名义；以…为借口"
in the process of,"na. 在…的过程中
 在……的过程中；在…过程中；在进程中"
in the way,"na. 在路上；妨碍
 挡道；挡路；妨碍人的"
in the world,"na. 在世界上；究竟
 到底；全世界；长城是世界一大奇迹"
in turn,"na. 挨次
 依次；轮流；反过来"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
in view of,"na. 鉴于；为要；在…能看见的地方；估计到才
 考虑到；由于；为了"
indulge in,"v. 沉迷于
 沉溺于；沉湎于；尽情享受"
inform about, 将…告知（某人）
inform of,"v. 通知关于
 告诉；将…告知；报告"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
intend to do sth.,
just around the corner, 就在附近；近在眼前；临近
just in case,"na. 以防万一；作为准备
 只是以防万一；以防万一嘛；预防万一"
keep ... to oneself,"un. 强调；紧贴；秘而不宣；独自承受
 保守秘密；不与人来往；不与他人交往"
keep an eye on,"v. 密切注意
 照看；留意；密切注视"
keep away from,"v. 远离
 避开；使远离；别靠近"
keep company with,"na. 和…常来往；同…结伴
 和…交往；与…交往；与……陪伴"
keep early hours,"na. 早睡早起；早出早归
 早起早睡；经常早归或早睡；习惯早睡早起"
keep in mind,"na. 记在心里；记住；注意
 牢记；紧记；牢记在心"
keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
keep on,"na. 继续；穿着不脱
 继续不断；穿着...不脱；持续"
keep one's word,"na. 守约；履行诺言；说话算话
 守信用；遵守诺言；信守诺言"
keep to,"v. 坚持；固守
 保持；遵守；遵循"
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
 与…保持联系；跟踪；保持对……的联系"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
kill time,"v. 消磨时间
 打发时间；浪费时间；消磨时光"
lack of,"v. 缺乏
 缺少；不足；不够"
lay aside,"na. 保存；放在一边；丢弃；留着
 储蓄；搁置；把…放在一边"
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
learn ... by heart,"na. 记住；熟记
 背诵；牢记；背熟"
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
let down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
long for,"v. 渴望
 盼望；思慕；思念"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
look back on,"v. 回顾
 回忆；回顾过去；回首"
look down upon,"v. 轻视
 看不起；瞧不起；蔑视"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
look forward to,"na. 盼望
 期待；期望；期盼"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
look over,"na. 浏览；检查；察看
 查看；翻阅；调查"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
lose face, 丢脸，失去自尊与别人的信任，失去尊严/影响力/名望; 坍台; 现眼; 面上无光
lose one's way,"na. 迷路
 迷失方向；迷途；谁迷路"
lose sight of,"na. 看不见了…；忘了…；失踪了
 忽略；忘记；不再看见"
major in,"v. 主修
 专修；专攻；以……为专业"
make a choice,"un. 不得不；除…外；没有别的选择；拿定主意
 做出选择；做选择；作出选择"
make a contribution to,"na. 捐赠；贡献给
 为……做贡献；为……做出贡献；作出贡献"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
make a face,"un. 正视；做鬼脸
 作鬼脸；扮鬼脸；做鬼脸或怪相"
make a fool of oneself,"na. 丢丑；闹笑话
 出洋相；出丑；做傻事"
make a noise, （为某事而）吵吵嚷嚷，成为众人谈论或注意的对象，轰动一时; 闹
make a point of,"na. 主张；重视；必定
 强调；努力；决心"
make allowance for,"na. 体谅；留有余地；斟酌；扣除
 考虑到；原谅；考虑到某事物"
make an appointment,"n. 预约
 约会；预约挂号；约时间"
make an effort,"na. 努力作出
 作出努力；做出努力；尽一番努力"
make both ends meet,"na. 使收支相抵；量入为出
 收支平衡；使收支平衡；使收支相偿"
make friends with,"na. 跟…做朋友
 与……交朋友；和……交朋友；与……交友"
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
make money,"na. 赚钱；发财
 挣钱；生财；网路赚钱"
make no difference,"un. 在意；没关系；没有差别；无动于衷
 没有影响；没有区别；没影响"
make one's living,"谋生, 挣钱度日, 维持生活"
make oneself at home,"un. 使…团结起来；随便(坐坐)
 别拘束；不要拘束；别客气"
make oneself heard,"na. 把意见等说给人听
 使自己被别人听到；使别人听得见自己的声音；使某人自己被听到"
make oneself understood,"na. 使自己的意思为人了解；使人了解自己的意思；使了解自己意思
 让别人理解自己；使自己被别人理解；表达自己的意图"
make out,"na. 理解；发现；起草；证明
 辨认出；填写；开列"
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
make the most of,"na. 充分使用；尽量使好看；极为重视；尽量称赞
 充分利用；尽量利用；充分展示"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
make way for,"v. 让路
 给……让路；让路给；让路于"
meet the demands, 满足要求；满足需求；存在的意义
mistake ... for ...,
more or less,"na. 有几分；约；或多或少；一点也…
 差不多；有点儿；溢短装"
move to,"na. 搬到
 移动到；移到；搬到某地"
no less than,"prep. 多达
 不少于；不亚于；不下"
no longer,"na. 不再
 已不；再也；再也不"
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
none of one's business,
nothing but,"na. 不外；的确
 只有；只不过；只是"
now and then, 偶尔；时而；不时
object to,"na. 反对
 反对某事；不赞成；我反对"
of great interest,
of great use, 具有很大用途；很有用；这本书将对你有很大的益处
of one's own,"na. 自己的
 属于某人自己的；属于自己的；某人的自己的"
on a large scale,"na. 大规模地
 大规模的；大批量；大量"
on account of,"na. 因为
 由于；为了；基于"
on an average,"na. 平均；一般说来
 平均起来；平均而言；按平均"
on and off,"na. 断断续续；偶尔；(航海)时而靠岸时而离岸地；不规则地
 断断续续地；开和关；断断续续的"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
on business,"na. 因公
 因事；出差办事；有事"
on condition that,"na. 在…的条件下
 在…条件下；条件是；如果"
on duty,"na. 在工作时间内；上班；值班
 值日；当班；在值班"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
on no account,"na. … on any account 决不
 无论如何；不论什么原因也不；绝对不"
on occasions, 不时地；有必要时；在…场合
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
on one's way to,
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
on second thought,"adv. 经过重新考虑
 转念一想；进一步考虑后；再三考虑"
on the contrary,"na. 反之
 正相反；相反地；相反的"
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
on the spot,"na. 当场；立刻；用现货；(人)准备妥当
 在现场；在场；马上"
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
on time,"na. 按时；及时
 准时；正点；准时地"
once and for all,"ph. 一劳永逸地
 最后一次；彻底地；只此一次"
one after another,"na. 一个又一个地；陆续；相继
 一个接一个；一个接一个地；先后"
or else,"na. 不然
 否则；要不然；否则，要不然"
out of bounds,"na. 越界；禁止…入内
 界外；出界；界外球"
out of control,"na. 失去控制
 失控；不受控制；过界"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
out of fear,"na. 吓得
 由于恐惧；出于恐惧；走出恐惧"
out of reach,"adj. 够不着的；无法连络的；超出范围的
 深入虎穴；够不到；回天乏术"
out of season,"na. 过时的；失去时机；过了旺季；在禁猎期
 过季的；不合时令的；不当令"
out of sight,"adv. 无影无踪
 看不见；战略高手；在视野之外"
out of the question,"adv. 不可能
 不可能的；毫无可能的；绝不可能"
out of work,"na. 失业；(机器等)有毛病
 失业了；失业的；没有工作"
over and over again,"na. 翻来覆去
 反复；一次又一次；反复地"
owe ... to ...,
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
part from,"na. 和…分手；放掉
 告别；离开；分离"
